age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,8,1,2.0,0,0.0684554569737319,0,0,1.0,19,10,0.024826216484607744,1,0.0,0,,0
33,6,1,1.0,0,0.1087502181178776,1,1,1.0,11,5,0.07149950347567031,1,0.38990825688073394,4,0.0,0
35,0,0,0.0,0,0.06258976389578663,1,0,1.0,16,4,0.05991393578285336,1,0.3795871559633027,1,0.0,0
30,0,1,0.0,0,0.06428101636219648,1,1,,3,6,0.06454816285998013,4,0.0,0,,0
59,3,1,1.0,0,0.04446920175568113,1,0,,5,5,0.07348560079443893,1,0.0,0,,0
35,0,0,0.0,0,0.05449591280653951,0,0,1.0,23,2,0.04534922211188348,2,0.2029816513761468,3,0.0,0
36,7,1,0.0,0,0.04858995181272734,1,0,1.0,14,5,0.11155246607083748,1,0.3795871559633027,2,1.0,0
39,1,1,1.0,0,0.046442329633159286,1,0,1.0,6,5,0.04865938430983118,2,0.0,0,,0
41,2,1,0.0,0,0.047435604891209515,1,0,,14,5,0.017543859649122806,2,0.0,0,,0
43,6,1,2.0,0,0.0432880095569187,1,1,1.0,17,4,0.10228401191658391,1,0.16972477064220184,2,0.0,0
39,6,1,1.0,0,0.17029301620112483,1,0,,20,5,0.08904336312479312,1,0.0,0,,0
43,admin.,1,1.0,0,0.04801277835196843,1,0,1.0,17,4,0.036080767957629926,2,0.0,0,,0
36,1,1,0.0,0,0.05935490798781225,0,0,1.0,13,8,0.10724925521350546,2,0.0,0,,0
20,10,0,1.0,0,0.05120736634407592,0,0,1.0,30,4,0.08507116848725588,1,0.0,0,,1
31,3,1,1.0,0,0.04930135165970927,1,1,1.0,29,1,0.028136378682555446,1,0.2775229357798165,1,0.0,0
40,0,1,0.0,0,0.0470731936484074,0,1,1.0,29,8,0.06123800066203244,2,0.0,0,,0
56,1,1,1.0,0,0.09913960886431054,0,0,1.0,27,8,0.07778881165177094,5,0.0,0,,0
37,admin.,0,0.0,0,0.07556945544355109,1,0,1.0,20,4,0.036411784177424696,1,0.17545871559633028,2,0.0,0
25,3,0,2.0,0,0.04150279862015275,1,0,,23,5,0.0814299900695134,1,0.0,0,,0
31,6,1,1.0,0,0.04624099005382478,0,0,1.0,7,7,0.047666335650446874,1,0.17545871559633028,1,1.0,0
38,0,1,,0,0.04446920175568113,1,0,1.0,18,11,0.030453492221118834,2,0.0,0,,0
42,0,1,0.0,0,0.044683963973637934,0,0,1.0,19,11,0.045018205892088714,3,0.0,0,,0
44,6,0,1.0,0,0.04589200144964497,0,0,,12,6,0.03475670307845084,2,0.0,0,,0
44,2,1,1.0,0,0.04571750714755507,0,0,1.0,7,7,0.04005296259516716,2,0.0,0,,0
26,9,1,0.0,0,0.051757694527590235,0,0,1.0,30,1,0.05461767626613704,3,0.0,0,,0
41,0,1,0.0,0,0.12343458477067422,0,0,1.0,20,11,0.05892088712346905,2,0.0,0,,0
55,3,1,2.0,0,0.05288519617186346,1,0,,5,5,0.0804369414101291,1,0.0,0,,0
67,4,1,,0,0.05381135823680219,0,0,0.0,17,8,0.03806686527639854,1,0.12155963302752294,2,0.0,0
56,7,1,1.0,0,0.05499255043556462,0,1,1.0,30,7,0.04799735187024164,2,0.0,0,,0
53,admin.,1,1.0,0,0.04587857881102267,0,1,1.0,21,8,0.023171135385633895,2,0.0,0,,0
68,4,1,1.0,0,0.10069663494449739,0,0,0.0,14,7,0.29559748427672955,2,0.0,0,,1
31,1,1,1.0,0,0.0467644729600945,0,0,1.0,27,8,0.025488248924197286,3,0.0,0,,0
59,0,1,1.0,0,0.045032952577817746,0,0,1.0,21,11,0.011916583912611719,1,0.0,0,,0
32,0,0,0.0,0,0.07850901330183488,1,0,1.0,26,8,0.3157894736842105,6,0.0,0,,1
49,1,1,0.0,0,0.06104616045422209,0,0,1.0,13,8,0.11585567692816948,3,0.0,0,,1
42,admin.,1,1.0,0,0.06877760030066711,1,0,,14,5,0.04832836809003641,1,0.0,0,,0
78,4,1,2.0,0,0.047542986000187915,0,0,0.0,22,10,0.030784508440913606,1,0.0,0,,1
32,3,1,1.0,0,0.07250909383766661,1,0,1.0,14,11,0.042370076133730554,1,0.0,0,,1
33,0,1,1.0,0,0.0972872847344331,1,0,1.0,6,5,0.2519033432638199,1,0.393348623853211,2,0.0,1
23,6,0,0.0,0,0.049341619575576166,1,0,,30,5,0.003972194637537239,18,0.0,0,,0
38,0,0,0.0,0,0.20515160870323887,1,0,,17,11,0.20026481297583582,2,0.11697247706422019,3,0.0,0
36,0,0,0.0,0,0.051891920913813235,0,0,1.0,11,8,0.033763654419066536,2,0.0,0,,0
52,3,1,1.0,0,0.059462289096790646,1,0,1.0,13,5,0.11949685534591195,1,0.0,0,,0
32,1,1,0.0,0,0.04978456665011208,1,0,1.0,13,5,0.06653426017874876,3,0.0,0,,0
32,1,0,0.0,0,0.07405269727923115,1,0,1.0,21,11,0.0023171135385633896,4,0.0,0,,0
34,0,0,0.0,0,0.056173742634327055,1,0,,7,5,0.033432638199271766,2,0.0,0,,0
